igr	n_isolates	prevalence	avg_len	is_core_igr
Cluster_19621	1222	0.9927		True
Cluster_6584	1222	0.9927		True
Cluster_11978	1222	0.9927		True
Cluster_17759	1222	0.9927		True
Cluster_18324	1222	0.9927		True
Cluster_8931	1222	0.9927		True
Cluster_13585	1222	0.9927		True
Cluster_13751	1222	0.9927		True
Cluster_19529	1222	0.9927		True
Cluster_18966	1222	0.9927		True
Cluster_8060	1222	0.9927		True
Cluster_12206	1222	0.9927		True
Cluster_23411	1222	0.9927		True
Cluster_11659	1222	0.9927		True
Cluster_19028	1222	0.9927		True
Cluster_10401	1222	0.9927		True
Cluster_9923	1222	0.9927		True
Cluster_7613	1221	0.9919		True
Cluster_15533	1221	0.9919		True
Cluster_6279	1221	0.9919		True
Cluster_18143	1221	0.9919		True
Cluster_14414	1221	0.9919		True
Cluster_21060	1221	0.9919		True
Cluster_16482	1221	0.9919		True
Cluster_15924	1221	0.9919		True
Cluster_12316	1221	0.9919		True
Cluster_16629	1221	0.9919		True
Cluster_14701	1221	0.9919		True
Cluster_13062	1221	0.9919		True
Cluster_18985	1221	0.9919		True
Cluster_16150	1221	0.9919		True
Cluster_16912	1221	0.9919		True
Cluster_23121	1221	0.9919		True
Cluster_9078	1221	0.9919		True
Cluster_11065	1221	0.9919		True
Cluster_11915	1221	0.9919		True
Cluster_24047	1221	0.9919		True
Cluster_13063	1220	0.9911		True
Cluster_17181	1220	0.9911		True
Cluster_23384	1220	0.9911		True
Cluster_8640	1220	0.9911		True
Cluster_9015	1220	0.9911		True
Cluster_20403	1220	0.9911		True
Cluster_5614	1220	0.9911		True
Cluster_12711	1220	0.9911		True
Cluster_8735	1220	0.9911		True
Cluster_21056	1220	0.9911		True
Cluster_14858	1220	0.9911		True
Cluster_13000	1220	0.9911		True
Cluster_7605	1220	0.9911		True
Cluster_4865	1220	0.9911		True
Cluster_18997	1220	0.9911		True
Cluster_3908	1220	0.9911		True
Cluster_18778	1220	0.9911		True
Cluster_12365	1220	0.9911		True
Cluster_13025	1220	0.9911		True
Cluster_6236	1220	0.9911		True
Cluster_19784	1219	0.9903		True
Cluster_11620	1219	0.9903		True
Cluster_10603	1219	0.9903		True
Cluster_5381	1219	0.9903		True
Cluster_6393	1219	0.9903		True
Cluster_11940	1219	0.9903		True
Cluster_12566	1219	0.9903		True
Cluster_18925	1219	0.9903		True
Cluster_23660	1219	0.9903		True
Cluster_9837	1219	0.9903		True
Cluster_24435	1219	0.9903		True
Cluster_21678	1219	0.9903		True
Cluster_25840	1219	0.9903		True
Cluster_22021	1219	0.9903		True
Cluster_11009	1219	0.9903		True
Cluster_21557	1219	0.9903		True
Cluster_19074	1218	0.9894		True
Cluster_13161	1218	0.9894		True
Cluster_18644	1218	0.9894		True
Cluster_7785	1218	0.9894		True
Cluster_13065	1218	0.9894		True
Cluster_14315	1218	0.9894		True
Cluster_4862	1218	0.9894		True
Cluster_6075	1218	0.9894		True
Cluster_14225	1218	0.9894		True
Cluster_10967	1217	0.9886		True
Cluster_16159	1217	0.9886		True
Cluster_12452	1217	0.9886		True
Cluster_16093	1217	0.9886		True
Cluster_19699	1217	0.9886		True
Cluster_17955	1217	0.9886		True
Cluster_11105	1217	0.9886		True
Cluster_20273	1217	0.9886		True
Cluster_25114	1217	0.9886		True
Cluster_9410	1217	0.9886		True
Cluster_16721	1217	0.9886		True
Cluster_8395	1217	0.9886		True
Cluster_20577	1217	0.9886		True
Cluster_18604	1217	0.9886		True
Cluster_26025	1217	0.9886		True
Cluster_14563	1217	0.9886		True
Cluster_11155	1217	0.9886		True
Cluster_12665	1216	0.9878		True
Cluster_8803	1216	0.9878		True
Cluster_13825	1216	0.9878		True
Cluster_11858	1216	0.9878		True
Cluster_5413	1216	0.9878		True
Cluster_1608	1216	0.9878		True
Cluster_8544	1216	0.9878		True
Cluster_16200	1216	0.9878		True
Cluster_22544	1216	0.9878		True
Cluster_12221	1216	0.9878		True
Cluster_14163	1216	0.9878		True
Cluster_20330	1216	0.9878		True
Cluster_7403	1216	0.9878		True
Cluster_19284	1216	0.9878		True
Cluster_14068	1216	0.9878		True
Cluster_23988	1215	0.987		True
Cluster_8860	1215	0.987		True
Cluster_8498	1215	0.987		True
Cluster_15920	1215	0.987		True
Cluster_8098	1215	0.987		True
Cluster_20515	1215	0.987		True
Cluster_15912	1215	0.987		True
Cluster_21504	1214	0.9862		True
Cluster_16808	1214	0.9862		True
Cluster_8727	1214	0.9862		True
Cluster_14116	1214	0.9862		True
Cluster_5170	1214	0.9862		True
Cluster_20688	1214	0.9862		True
Cluster_14805	1214	0.9862		True
Cluster_14036	1214	0.9862		True
Cluster_21752	1213	0.9854		True
Cluster_21586	1213	0.9854		True
Cluster_14924	1213	0.9854		True
Cluster_9618	1213	0.9854		True
Cluster_20490	1213	0.9854		True
Cluster_23152	1213	0.9854		True
Cluster_7179	1212	0.9846		True
Cluster_13449	1212	0.9846		True
Cluster_7315	1212	0.9846		True
Cluster_15192	1212	0.9846		True
Cluster_19075	1212	0.9846		True
Cluster_17227	1212	0.9846		True
Cluster_4529	1212	0.9846		True
Cluster_4371	1212	0.9846		True
Cluster_14372	1211	0.9838		True
Cluster_23020	1211	0.9838		True
Cluster_8648	1211	0.9838		True
Cluster_8009	1211	0.9838		True
Cluster_20077	1211	0.9838		True
Cluster_7385	1211	0.9838		True
Cluster_13042	1211	0.9838		True
Cluster_11477	1211	0.9838		True
Cluster_25842	1211	0.9838		True
Cluster_13280	1211	0.9838		True
Cluster_4668	1210	0.9829		True
Cluster_17624	1210	0.9829		True
Cluster_2140	1210	0.9829		True
Cluster_15119	1210	0.9829		True
Cluster_10893	1210	0.9829		True
Cluster_15047	1210	0.9829		True
Cluster_25841	1210	0.9829		True
Cluster_4205	1210	0.9829		True
Cluster_8958	1210	0.9829		True
Cluster_6563	1209	0.9821		True
Cluster_18936	1209	0.9821		True
Cluster_12883	1209	0.9821		True
Cluster_22502	1209	0.9821		True
Cluster_17104	1209	0.9821		True
Cluster_13409	1209	0.9821		True
Cluster_17736	1208	0.9813		True
Cluster_14722	1208	0.9813		True
Cluster_16812	1208	0.9813		True
Cluster_11083	1208	0.9813		True
Cluster_9005	1208	0.9813		True
Cluster_25640	1208	0.9813		True
Cluster_23934	1207	0.9805		True
Cluster_8523	1207	0.9805		True
Cluster_11213	1207	0.9805		True
Cluster_6380	1207	0.9805		True
Cluster_23832	1207	0.9805		True
Cluster_15707	1207	0.9805		True
Cluster_21760	1207	0.9805		True
Cluster_12614	1207	0.9805		True
Cluster_17215	1207	0.9805		True
Cluster_5913	1207	0.9805		True
Cluster_12543	1207	0.9805		True
Cluster_22781	1207	0.9805		True
Cluster_7579	1207	0.9805		True
Cluster_20576	1207	0.9805		True
Cluster_15068	1207	0.9805		True
Cluster_12585	1206	0.9797		True
Cluster_12920	1206	0.9797		True
Cluster_16283	1206	0.9797		True
Cluster_16246	1206	0.9797		True
Cluster_13001	1206	0.9797		True
Cluster_12791	1206	0.9797		True
Cluster_10643	1206	0.9797		True
Cluster_7238	1206	0.9797		True
Cluster_12824	1206	0.9797		True
Cluster_7876	1206	0.9797		True
Cluster_11190	1206	0.9797		True
Cluster_7383	1205	0.9789		True
Cluster_3940	1205	0.9789		True
Cluster_6409	1205	0.9789		True
Cluster_25738	1205	0.9789		True
Cluster_22742	1204	0.9781		True
Cluster_19262	1204	0.9781		True
Cluster_5847	1204	0.9781		True
Cluster_18839	1204	0.9781		True
Cluster_26032	1204	0.9781		True
Cluster_6240	1204	0.9781		True
Cluster_11793	1204	0.9781		True
Cluster_8233	1204	0.9781		True
Cluster_15584	1204	0.9781		True
Cluster_17828	1204	0.9781		True
Cluster_7120	1204	0.9781		True
Cluster_10117	1204	0.9781		True
Cluster_15743	1203	0.9773		True
Cluster_15032	1203	0.9773		True
Cluster_24824	1203	0.9773		True
Cluster_20329	1203	0.9773		True
Cluster_2564	1203	0.9773		True
Cluster_13307	1203	0.9773		True
Cluster_15704	1203	0.9773		True
Cluster_10134	1203	0.9773		True
Cluster_13531	1203	0.9773		True
Cluster_22777	1203	0.9773		True
Cluster_12915	1203	0.9773		True
Cluster_25331	1202	0.9764		True
Cluster_18328	1202	0.9764		True
Cluster_21432	1202	0.9764		True
Cluster_13847	1202	0.9764		True
Cluster_12398	1202	0.9764		True
Cluster_21812	1202	0.9764		True
Cluster_19995	1202	0.9764		True
Cluster_22744	1202	0.9764		True
Cluster_20726	1202	0.9764		True
Cluster_8178	1202	0.9764		True
Cluster_24344	1202	0.9764		True
Cluster_23055	1202	0.9764		True
Cluster_12038	1202	0.9764		True
Cluster_8933	1202	0.9764		True
Cluster_18398	1202	0.9764		True
Cluster_18968	1201	0.9756		True
Cluster_21422	1201	0.9756		True
Cluster_21811	1201	0.9756		True
Cluster_22707	1201	0.9756		True
Cluster_16724	1201	0.9756		True
Cluster_17755	1201	0.9756		True
Cluster_12315	1201	0.9756		True
Cluster_4362	1201	0.9756		True
Cluster_3307	1201	0.9756		True
Cluster_3576	1201	0.9756		True
Cluster_16494	1201	0.9756		True
Cluster_6908	1201	0.9756		True
Cluster_6983	1201	0.9756		True
Cluster_4541	1201	0.9756		True
Cluster_10079	1200	0.9748		True
Cluster_7394	1200	0.9748		True
Cluster_8215	1200	0.9748		True
Cluster_6399	1200	0.9748		True
Cluster_9409	1200	0.9748		True
Cluster_14772	1200	0.9748		True
Cluster_11660	1200	0.9748		True
Cluster_16620	1200	0.9748		True
Cluster_13765	1200	0.9748		True
Cluster_14830	1200	0.9748		True
Cluster_9637	1199	0.974		True
Cluster_12850	1199	0.974		True
Cluster_35	1199	0.974		True
Cluster_12497	1199	0.974		True
Cluster_5793	1199	0.974		True
Cluster_10894	1199	0.974		True
Cluster_4081	1199	0.974		True
Cluster_10708	1199	0.974		True
